OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B
Alx4	Prrx1
Alx4	Pou3f4
Alx4	Pou4f2
Alx4	Rax
Alx4	Sox15
Alx4	Sox2
Alx4	Mixl1
Alx4	Tbx21
Alx4	Ercc8
Alx4	Tle6
Alx4	Med16
Alx4	Gtf3c1
Apc	Ctnnb1
Ar	Ncoa2
Ar	Pou2f1
Ar	Tlx3
Arntl	Epas1
Arntl	Hif1a
Arntl	Rnf14
Atf2	Barx2
Atf4	Fos
Atf4	Jun
Atoh1	Runx1t1
Neurod4	Runx1t1
Neurog2	Ascl1
Hnrnpd	Cited4
Bard1	Pcbd1
Barx1	Dlx1
Barx1	Zfp641
Barx2	Creb1
Barx2	Fos
Barx2	Jun
Bcl6b	Bcl6
Bcl6	Ppard
Brca1	Brca2
Brca1	Ewsr1
Brca1	Hoxa2
Brca1	Hoxc12
Brca1	Tcf3
Brca1	Olig1
Brca2	Rad51
Brca2	Rad51b
Zfp36l1	Pcbd1
Btg1	Cnot7
Btg1	Cnot8
Btg2	Cnot8
Ciita	Ewsr1
Ciita	Hoxa2
Ciita	Nfe2
Ciita	Tcf3
Ciita	Cited4
Ciita	Gmeb1
Ciita	Ssbp3
Ciita	Ssbp4
Nr1i3	Rxrg
Runx2	Cbfb
Runx2	Rb1
Runx2	Rbl2
Runx1t1	Id4
Runx1t1	Neurod1
Runx1t1	Neurog1
Runx1t1	Tal2
Cdx1	Dlx1
Cdx1	Nkx2-3
Cdx1	Gtf2e1
Cdx1	Zfp82
Cdx2	Dlx5
Cdx2	Hltf
Cdx2	Zfp292
Cdx4	Dlx1
Cdx4	Gtf2a1l
Cebpa	Ddit3
Cebpa	Jdp2
Cebpd	Rb1
Cebpd	Cers2
Cebpd	Gtf2f1
Cebpd	Zfp277
Cebpg	Jdp2
Cebpg	Atf5
Vsx2	Pax6
Cited1	Cers2
Cops2	Hoxd12
Crebbp	Polr1b
Crebbp	Rxrg
Crebbp	Spi1
Crebbp	Trp53
Crebbp	Cers2
Crebbp	Hdac10
Crebbp	Zfp592
Crebbp	Jade1
Cry1	Timeless
Ctbp1	Hdac2
Ctbp1	Hdac9
Dach1	Six1
Daxx	Creb3l1
Daxx	Dmap1
Dbp	Tef
Dbp	Gtf2h2
Dbp	Jdp2
Dbp	Hlf
Pcbd1	Polr1a
Pcbd1	Srebf1
Pcbd1	Hnf1a
Pcbd1	Hnf1b
Pcbd1	Zfp110
Pcbd1	Asb3
Pcbd1	Ercc8
Pcbd1	Cers2
Pcbd1	Brpf1
Pcbd1	Asb15
Pcbd1	Chd4
Pcbd1	Tle6
Pcbd1	Pawr
Pcbd1	Zdhhc13
Ddit3	Cers2
Dlx1	Dlx2
Dlx1	Foxa1
Dlx1	Hoxb13
Dlx1	Mixl1
Dlx1	Tbx21
Dlx1	Sp7
Dlx2	Msx1
Dlx2	Sp7
Dlx4	Zfp263
Dlx4	Sp7
Dlx5	Hoxb13
Dlx5	Nfe2
Dlx5	Hnf4g
Dlx5	Jdp2
Dlx5	Sp7
Dnmt1	Rela
Dnmt1	Tox3
Dnmt3a	Dnmt3l
E2f1	Ndnl2
E2f1	Tfdp2
E4f1	Nfe2
E4f1	Gmeb2
Ebf1	Ebf4
Ebf3	Ebf4
Eed	Hdac1
Egr1	Nab2
Ehf	Nfkbiz
Elf5	Nfkbiz
Ell	Ivns1abp
Emx1	Gata6
Emx1	Id3
Emx1	Irf9
Emx1	Meis2
Emx1	Otx2
Emx1	Spi1
Emx1	Hnf1a
Emx1	Tlx1
Emx1	Vdr
Emx1	Spdef
Emx1	Hnf4g
Emx1	Irf7
Emx1	Gtf2a1l
Emx1	Gtf2a1
Emx1	Kdm4b
Emx2	Nkx2-1
Emx2	Tlx1
Emx2	Irx6
Emx2	Med17
Epas1	Vhl
Nr2f6	Nkx2-1
Nr2f6	Zfp111
Nr2f6	Gtf2a1
Nr2f6	Sp7
Erg	Sox2
Esr1	Ncoa2
Esr1	Pou4f1
Esr1	Pou4f2
Esr2	Rbm39
Ewsr1	Jarid2
Ewsr1	Mecp2
Ewsr1	Mtf2
Ewsr1	Per1
Ewsr1	Rest
Ewsr1	Rorc
Ewsr1	Polr1a
Ewsr1	Kdm5d
Ewsr1	Srebf1
Ewsr1	Phf1
Ewsr1	Dedd
Ewsr1	Ubp1
Ewsr1	Zfp42
Ewsr1	Zfp292
Ewsr1	Trip4
Ewsr1	Ankrd49
Ewsr1	Zfp111
Ewsr1	Med20
Ewsr1	Sirt2
Ewsr1	Zdhhc6
Ewsr1	Xab2
Ewsr1	Ankra2
Ewsr1	Polr3f
Ewsr1	Cers5
Ewsr1	Ercc8
Ewsr1	Mms19
Ewsr1	Nkd2
Ewsr1	Asb6
Ewsr1	Naa15
Ewsr1	Ankrd7
Ewsr1	Rai14
Ewsr1	Cers2
Ewsr1	Nkrf
Ewsr1	Abtb1
Ewsr1	Trps1
Ewsr1	Smarca1
Ewsr1	Pwp1
Ewsr1	Chd4
Ewsr1	Tle6
Ewsr1	Rfxap
Ewsr1	Hdac10
Ewsr1	Ash1l
Ewsr1	Zfp180
Ewsr1	Zswim4
Ewsr1	Med16
Ewsr1	Pms1
Ewsr1	Snapc4
Ewsr1	Polr2b
Ewsr1	Zbtb24
Ewsr1	Zfp82
Eya3	Hoxb8
Eya3	Polr2a
Eya3	Six1
Eya3	Tlx3
Ezh2	Cited4
Foxh1	Smad2
Foxh1	Smad3
Foxh1	Nkx2-5
Foxh1	Rxrg
Foxh1	Gtf2a1
Fhl2	Wt1
Foxn2	Nfe2
Foxn2	Tlx3
Fmr1	Pura
Gata1	Spi1
Gata3	Med1
Gata3	Tbx21
Gata4	Med1
Gata5	Zfp292
Gata5	Med16
Gata5	Rorb
Gata6	Med1
Gata6	Nkx2-1
Gfi1	Tcf3
Gfi1	Pias3
Tsc22d3	Hoxa6
Tsc22d3	Hoxb8
Tsc22d3	Tcf3
Gli3	Ski
Nr3c1	Hoxb8
Nr3c1	Pou2f1
Nr3c1	Dmrtc2
Nr3c1	Rarb
Gsc	Tbx21
Gsx1	Irf9
Gsx2	Nkx2-1
Gtf2h1	Nfe2
Gtf2h1	Tlx3
Gtf2i	Pias2
Nkx6-2	Hnf1a
Nkx6-2	Sertad1
Nkx6-2	Tox3
Hand1	Tcf12
Hcls1	Nfe2
Hdac2	Hdac9
Hdac5	Ncor2
Foxq1	Ssbp2
Foxq1	Ssbp3
Foxj1	Rfx2
Hhex	Gtf2a1l
Hhex	Sp7
Hif1a	Vhl
Hif1a	Tlx3
Hivep2	Cited4
Hoxa1	Pax9
Hoxa1	Pbx1
Hoxa1	Cers2
Hoxa10	Pbx1
Hoxa10	Pbx2
Hoxa10	Tceb2
Hoxa11	Hr
Hoxa11	Zfp292
Hoxa11	Polr2i
Hoxa11	Hmgxb3
Hoxa2	Zfp292
Hoxa2	Ybx3
Hoxa2	Zdhhc6
Hoxa2	Asb12
Hoxa2	Ercc8
Hoxa2	Zdhhc16
Hoxa2	Rai14
Hoxa2	Cers2
Hoxa2	Chd4
Hoxa2	Tle6
Hoxa2	Rbm39
Hoxa4	Nfe2
Hoxa5	Pbx1
Hoxa6	Pbx1
Hoxa6	Pbx3
Hoxa6	Pou2f1
Hoxa6	Polr2i
Hoxa6	Pknox2
Hoxa9	Pax6
Hoxa9	Pbx3
Hoxa9	Pou2f1
Hoxa9	Nkx2-1
Hoxa9	Polr2i
Hoxa9	Gtf2a1l
Hoxa9	Jade1
Hoxb1	Cers2
Hoxb1	Sirt1
Hoxb13	Otx2
Hoxb4	Nfe2
Hoxb5	Pbx3
Hoxb6	Pbx1
Hoxb8	Irf9
Hoxb8	Pbx1
Hoxb8	Pbx3
Hoxb8	Pou2f1
Hoxb8	Stat5b
Hoxb8	Zfp30
Hoxb8	Irf7
Hoxb8	Asb1
Hoxb8	Polr2i
Hoxb8	Gtf2a1l
Hoxb8	Pknox2
Hoxc12	Pax6
Hoxc12	Pbx1
Hoxc12	Pbx2
Hoxc12	Pbx3
Hoxc12	Rfxank
Hoxc12	Nkx2-1
Hoxc12	Jade1
Hoxc4	Pbx1
Hoxc4	Pbx3
Hoxc4	Pou2f1
Hoxc4	Sall4
