interactor_A	interactor_B	confidence_value
Hsd3b4	Hmox2	0.34505215
Gm10681	Hmox2	0.34505215
Ywhae	Hmox2	0.34505215
Hsd3b7	Hmox2	0.34505215
Ywhae	Ptp4a2	0.34505215
Pgls	Grk6	0.34505215
Prkag1	Cidea	0.34505215
Prkaa1	Cidea	0.34505215
Ywhae	Nmt1	0.34505215
Hdac4	Nmt2	0.34505215
Ywhae	Epb41l2	0.34505215
Agap2	Epb41l2	0.34505215
Rd3	Epb41l2	0.34505215
Dlg4	Gpx4	0.34505215
Hdac4	Nptx2	0.34505215
Trpm7	Tert	0.34505215
Ywhae	Pdlim1	0.34505215
Pgls	Pdlim1	0.34505215
Ywhae	Gtf2h4	0.34505215
Cdk9	Gtf2h4	0.34505215
Ywhaz	Aoc3	0.34505215
Hsd3b4	Aoc3	0.34505215
Ywhae	Aoc3	0.34505215
Gm10681	Aoc3	0.34505215
Prkce	Fhl2	0.34505215
Iqcb1	Psma3	0.34505215
Ryr2	Psma3	0.34505215
Syngap1	Gnaz	0.34505215
Agap2	Gnaz	0.34505215
Ywhab	Gnaz	0.34505215
Xpo7	Sfn	0.34505215
Invs	Sfn	0.34505215
Pard3	Sfn	0.34505215
Ywhae	Sfn	0.34505215
Pgls	Ugdh	0.34505215
Ywhaz	Ugdh	0.34505215
Ywhae	Ugdh	0.34505215
Ywhae	Vamp4	0.34505215
Clstn1	Vamp4	0.34505215
Trpm7	Ubr1	0.34505215
Ywhae	Clcn7	0.34505215
Hsd3b7	Hsd17b12	0.34505215
Hsd3b4	Hsd17b12	0.34505215
Ywhab	Hsd17b12	0.34505215
Ywhaz	Hsd17b12	0.34505215
Ywhae	Hsd17b12	0.34505215
Gm10681	Hsd17b12	0.34505215
Paxip1	Kdm6a	0.34505215
Ywhae	Srpk1	0.34505215
Cox15	Srpk1	0.34505215
Cbl	Diaph2	0.34505215
Rab7	Pdk4	0.34505215
Ppp1ca	Pdk4	0.34505215
Rad21	Stag3	0.34505215
Rec8	Stag3	0.34505215
Rad21l	Stag3	0.34505215
Dlgap1	Cask	0.34505215
Hdac4	Cask	0.34505215
Ywhaz	Cask	0.34505215
Ywhae	Cask	0.34505215
Tnik	Cask	0.34505215
Ywhab	Cask	0.34505215
Ywhah	Pfdn2	0.34505215
Ywhae	Rtn2	0.34505215
Ywhae	H2-Eb1	0.34505215
Ywhae	Ly86	0.34505215
Ywhah	Cfdp1	0.34505215
Ywhae	Cfdp1	0.34505215
Tnik	Wiz	0.34505215
Ywhae	Wiz	0.34505215
Tfcp2l1	Wiz	0.34505215
Ywhae	Agr2	0.34505215
Ywhae	Naglu	0.34505215
Csf1	Myo1a	0.34505215
Dlg4	Kcnj1	0.34505215
Dlgap1	Kcnj1	0.34505215
Ywhae	Cdh16	0.34505215
Hsd3b4	Cdh16	0.34505215
Ywhaz	Cdh16	0.34505215
Gm10681	Cdh16	0.34505215
Rab35	Wdr1	0.34505215
Rab1a	Wdr1	0.34505215
Snta1	Wdr1	0.34505215
Ilk	Wdr1	0.34505215
Rab4b	Wdr1	0.34505215
Rab19	Wdr1	0.34505215
Rab5c	Wdr1	0.34505215
Rab4a	Wdr1	0.34505215
Rab21	Wdr1	0.34505215
Mycbp2	Wdr1	0.34505215
Cav3	Wdr1	0.34505215
Rab27b	Wdr1	0.34505215
Rab33b	Wdr1	0.34505215
Ywhaz	Slc4a4	0.34505215
Gm10681	Slc4a4	0.34505215
Hsd3b4	Slc4a4	0.34505215
Ywhae	Slc4a4	0.34505215
Pex5l	Slc4a4	0.34505215
Dlg4	Slc4a4	0.34505215
Ywhab	Slc4a4	0.34505215
Smarca5	Baz1a	0.34505215
Hmga2	Baz1a	0.34505215
Crk	Avil	0.34505215
Ywhaz	Papss2	0.34505215
Gm10681	Papss2	0.34505215
Hsd3b4	Papss2	0.34505215
Ywhae	Papss2	0.34505215
Pgls	Papss2	0.34505215
Ywhab	Mtx2	0.34505215
Hmga2	Mtx2	0.34505215
Ywhae	Mtx2	0.34505215
Hsd3b4	Mtx2	0.34505215
Gm10681	Mtx2	0.34505215
Lin28a	Igf2bp1	0.34505215
Meioc	Igf2bp1	0.34505215
Ago2	Igf2bp1	0.34505215
Ywhae	Igf2bp1	0.34505215
Ywhab	Dync1i1	0.34505215
Agap2	Dync1i1	0.34505215
Ywhae	Dync1i1	0.34505215
Nudc	Dync1i1	0.34505215
Spata7	Dync1i2	0.34505215
Ywhab	Dync1i2	0.34505215
Xpo7	Dync1i2	0.34505215
Ywhae	Dync1i2	0.34505215
Rpgrip1l	Dync1i2	0.34505215
Ywhaz	Dync1i2	0.34505215
Cav3	Plin4	0.34505215
Snta1	Plin4	0.34505215
Ywhae	Plin4	0.34505215
Kcnq1	Plin4	0.34505215
Ywhab	Cntfr	0.34505215
Ywhae	Cntfr	0.34505215
Pou5f1	Dnmt3a	0.34505215
Ywhae	Dnmt3a	0.34505215
Suz12	Dnmt3a	0.34505215
Ezh2	Dnmt3b	0.34505215
Suz12	Dnmt3b	0.34505215
Hdac4	Shoc2	0.34505215
Ywhae	Ikbkg	0.34505215
Sharpin	Ikbkg	0.34505215
Grid2	Ppt1	0.34505215
Hdac4	Zfr	0.34505215
Ywhae	Zfr	0.34505215
Pde4dip	Zfr	0.34505215
Asf1a	Zfr	0.34505215
Nanog	Zfr	0.34505215
Cdk9	Zfr	0.34505215
Ywhae	Ddc	0.34505215
Ywhae	Cops3	0.34505215
Pgls	Cops3	0.34505215
Ywhab	Cops3	0.34505215
Ywhae	Cops4	0.34505215
Xpo7	Cops4	0.34505215
Ywhae	Cops6	0.34505215
Ywhah	Parp2	0.34505215
Nanog	Men1	0.34505215
Xpo1	Axin2	0.34505215
Ctnnb1	Axin2	0.34505215
Hsd3b7	Hnrnpa2b1	0.34505215
Prkce	Hnrnpa2b1	0.34505215
Ywhae	Hnrnpa2b1	0.34505215
Ezh2	Hnrnpa2b1	0.34505215
Hsd3b7	Comt	0.34505215
Pgls	Comt	0.34505215
Ywhae	Comt	0.34505215
Slamf1	Becn1	0.34505215
Gja1	Becn1	0.34505215
Grin1	Cacng2	0.34505215
Ywhab	Gosr1	0.34505215
Ywhae	Gosr1	0.34505215
Ywhaz	Lamtor3	0.34505215
Hsd3b4	Lamtor3	0.34505215
Hsd3b7	Lamtor3	0.34505215
Ywhae	Lamtor3	0.34505215
Rraga	Lamtor3	0.34505215
Gm10681	Lamtor3	0.34505215
Tnik	Brd7	0.34505215
Ywhae	Brd7	0.34505215
Ywhae	Creg1	0.34505215
Hdac4	Psmc3	0.34505215
Ywhae	Psmc3	0.34505215
Ilk	Psmc3	0.34505215
Hmga2	Clpp	0.34505215
Ywhae	Clpp	0.34505215
Hsd3b4	Clpp	0.34505215
Gm10681	Clpp	0.34505215
Ywhae	Hcn2	0.34505215
Pex5l	Hcn2	0.34505215
Ywhab	Hcn2	0.34505215
Shank3	Hcn2	0.34505215
Hcn1	Hcn2	0.34505215
Tnik	Hcn1	0.34505215
Pex5l	Hcn3	0.34505215
Kdm2b	Ctbp1	0.34505215
Ywhae	Ctbp1	0.34505215
Pde4dip	Ctbp1	0.34505215
Pou5f1	Ctbp1	0.34505215
Sox2	Ctbp1	0.34505215
Tnik	Ctbp1	0.34505215
Grin1	Bsn	0.34505215
Ywhae	Bsn	0.34505215
Hcn1	Bsn	0.34505215
Ywhab	Bsn	0.34505215
Pgls	Birc6	0.34505215
Rnf41	Birc6	0.34505215
Ppp1ca	Birc6	0.34505215
Ywhae	Birc6	0.34505215
Ywhae	Gdap1	0.34505215
Ywhab	Gdap1	0.34505215
Ywhae	Tom1	0.34505215
Ywhae	F5	0.34505215
Ywhae	F11r	0.34505215
Ywhae	Rpp30	0.34505215
Xpo7	Rpp30	0.34505215
Hdac4	Rpp30	0.34505215
Tsc1	Dcx	0.34505215
Mycbp2	Dcx	0.34505215
Dlgap1	Dcx	0.34505215
Tnik	Dcx	0.34505215
Dlg4	Dcx	0.34505215
Ywhae	Adam15	0.34505215
Ywhae	Cradd	0.34505215
Hsd3b4	Idh1	0.34505215
Ywhae	Idh1	0.34505215
Ywhaz	Idh1	0.34505215
Cav3	Idh1	0.34505215
Pgls	Idh1	0.34505215
Hsd3b7	Idh1	0.34505215
Gm10681	Idh1	0.34505215
Ywhae	Akap10	0.34505215
Hsd3b4	Rbbp9	0.34505215
Ywhaz	Rbbp9	0.34505215
Gm10681	Rbbp9	0.34505215
Pgls	Rbbp9	0.34505215
Ywhae	Rbbp9	0.34505215
Ywhae	Pias1	0.34505215
Syngap1	Syn1	0.34505215
Ywhaz	Syn1	0.34505215
Ywhae	Syn1	0.34505215
Cask	Syn1	0.34505215
Dlg4	Syn1	0.34505215
Ywhab	Syn1	0.34505215
Ywhae	Zbtb7a	0.34505215
Ywhaz	Lin7b	0.34505215
Cask	Lin7b	0.34505215
Ywhae	Lin7b	0.34505215
Ywhab	Lin7b	0.34505215
Cask	Lin7c	0.34505215
Ywhae	Gnpda1	0.34505215
Rab33b	Actn3	0.34505215
Pgls	Actn3	0.34505215
Hsd3b4	Actn3	0.34505215
Gm10681	Actn3	0.34505215
Rab10	Actn3	0.34505215
Ywhae	Actn3	0.34505215
Ywhab	Olfm1	0.34505215
Ywhae	Cpd	0.34505215
Clstn1	Cpd	0.34505215
Gm10681	Lgmn	0.34505215
Hsd3b4	Lgmn	0.34505215
Ywhae	Lgmn	0.34505215
Ywhae	Afm	0.34505215
Hsd3b7	Tpp1	0.34505215
Ywhae	Tpp1	0.34505215
Gm10681	Tpp1	0.34505215
Ywhaz	Tpp1	0.34505215
Hsd3b4	Tpp1	0.34505215
Csf1	Itm2b	0.34505215
Ywhae	Coro1a	0.34505215
Sting1	Cope	0.34505215
Cyfip1	Pde4a	0.34505215
Huwe1	Pde4a	0.34505215
Pou5f1	Sp1	0.34505215
Cbl	Grap2	0.34505215
Cblb	Grap2	0.34505215
Ywhae	Cd93	0.34505215
Atg5	Casp8	0.34505215
Ripk1	Casp8	0.34505215
Ppp1ca	Lancl1	0.34505215
Ywhae	Lancl1	0.34505215
Dlg4	Lancl1	0.34505215
Ywhae	Vti1a	0.34505215
Clstn1	Vti1a	0.34505215
Ywhae	Cyct	0.34505215
Cyc1	mt-Cytb	0.34505215
Hsd3b7	Cyp1a2	0.34505215
Ywhae	Cyp1a2	0.34505215
Hsd3b7	Adh1	0.34505215
Ywhae	Adh1	0.34505215
Pgls	Adh1	0.34505215
Ywhaz	Adh1	0.34505215
Atp6v1a	Ldhc	0.34505215
Cenpc1	Ldhc	0.34505215
Meikin	Ldhc	0.34505215
Pgls	Dhfr	0.34505215
Phb2	mt-Co1	0.34505215
Ywhae	mt-Co2	0.34505215
Gm10681	mt-Co2	0.34505215
Snta1	mt-Co2	0.34505215
Ppp1ca	mt-Co2	0.34505215
Cav3	mt-Co2	0.34505215
Cbl	mt-Co2	0.34505215
Ywhab	mt-Co2	0.34505215
Ywhaz	mt-Co2	0.34505215
Hsd3b4	mt-Co2	0.34505215
Itgb1	Abl1	0.34505215
Gm10681	Car2	0.34505215
Pgls	Car2	0.34505215
Ywhaz	Car2	0.34505215
Got1	Car2	0.34505215
Ywhae	Car2	0.34505215
Hsd3b4	Car2	0.34505215
Pgls	C3	0.34505215
Ywhaz	C3	0.34505215
Ift27	C3	0.34505215
Dmd	C3	0.34505215
Hsd3b7	C3	0.34505215
Ywhae	C3	0.34505215
Hsd3b7	C4b	0.34505215
Ywhae	C4b	0.34505215
Kat5	Myc	0.34505215
Chd4	Myc	0.34505215
Sort1	Ngf	0.34505215
Cd4	Cd8a	0.34505215
Ptprcap	Cd8a	0.34505215
Hsd3b7	Thy1	0.34505215
Ywhaz	Thy1	0.34505215
Atp6v1a	Thy1	0.34505215
Hsd3b4	Thy1	0.34505215
Ywhae	Thy1	0.34505215
Gm10681	Thy1	0.34505215
Ywhab	Thy1	0.34505215
Syp	Thy1	0.34505215
Hsd3b7	B2m	0.34505215
Ywhae	B2m	0.34505215
Ywhae	H2-D1	0.34505215
Hsd3b7	H2-D1	0.34505215
Ywhae	H2-K1	0.34505215
Bcl2l1	Trp53	0.34505215
Ywhae	Col4a1	0.34505215
Cav3	Lamb1	0.34505215
Ywhae	Lamb1	0.34505215
Trpm7	Lamb1	0.34505215
Cacna1c	Lamb1	0.34505215
Cav3	mt-Nd1	0.34505215
Cav3	mt-Nd4	0.34505215
Ywhae	Cfd	0.34505215
Pgls	Cfd	0.34505215
Ywhae	Ada	0.34505215
Max	Mycn	0.34505215
Cdk1	Gfap	0.34505215
Ywhae	Gfap	0.34505215
Nphp4	Gfap	0.34505215
Ywhae	Krt1	0.34505215
Hmga2	Krt1	0.34505215
Ywhae	Fabp4	0.34505215
Ywhae	Cfb	0.34505215
Ywhae	Gzmb	0.34505215
Zap70	Cd3d	0.34505215
Pgls	Mb	0.34505215
Ywhae	Mb	0.34505215
Cav3	Mb	0.34505215
Snta1	Mb	0.34505215
Dnajc11	Mbp	0.34505215
Clstn1	Mbp	0.34505215
Ywhae	Mbp	0.34505215
Ywhaz	Mbp	0.34505215
Ywhae	Cd74	0.34505215
Rab38	Araf	0.34505215
Ywhae	Prl2c3	0.34505215
Ywhah	Saa3	0.34505215
Kcnq1	Slc4a1	0.34505215
Gm10681	Slc4a1	0.34505215
Hsd3b4	Slc4a1	0.34505215
Ywhae	Slc4a1	0.34505215
Cav3	Slc4a1	0.34505215
Hsd3b7	Slc4a1	0.34505215
Ywhaz	Slc4a1	0.34505215
Ywhab	Prnp	0.34505215
Dlg4	Aldoc	0.34505215
Ywhae	Aldoc	0.34505215
Rpgrip1l	Aldoc	0.34505215
Ywhab	Aldoc	0.34505215
Stam2	Aldoa	0.34505215
Pgls	Aldoa	0.34505215
Ywhae	Aldoa	0.34505215
Abcf1	Aldoa	0.34505215
Ywhab	Aldoa	0.34505215
Dmd	Aldoa	0.34505215
Ywhae	Nppa	0.34505215
Agap2	Prkaca	0.34505215
Ywhae	Prkaca	0.34505215
Tnik	Prkaca	0.34505215
Pgls	Got1	0.34505215
Gm10681	Got1	0.34505215
Ywhae	Got1	0.34505215
Dlg4	Got1	0.34505215
Cav3	Got1	0.34505215
Ryr2	Got1	0.34505215
Hsd3b4	Got1	0.34505215
Kcnq1	Got1	0.34505215
Ywhaz	Got1	0.34505215
Pgls	Got2	0.34505215
Hsd3b4	Got2	0.34505215
Pag1	Got2	0.34505215
Ywhah	Got2	0.34505215
Kcnq1	Got2	0.34505215
Ywhae	Got2	0.34505215
Gm10681	Got2	0.34505215
Cav3	Got2	0.34505215
Cep290	Tuba1b	0.34505215
Meioc	Tuba1b	0.34505215
Mks1	Tuba1b	0.34505215
Trpm7	Tuba1b	0.34505215
Hmga2	Tuba1b	0.34505215
Rd3	Tuba1b	0.34505215
Invs	Tuba1b	0.34505215
Nphp4	Tuba1b	0.34505215
Xpo7	Tuba1b	0.34505215
Dlg4	Tuba1b	0.34505215
Iqcb1	Tuba1b	0.34505215
Rpgrip1l	Tuba1b	0.34505215
Nphp1	Tuba1b	0.34505215
Ywhae	Src	0.34505215
Ywhab	Src	0.34505215
Shank3	Src	0.34505215
Agap2	Src	0.34505215
Prkce	Src	0.34505215
Insr	Src	0.34505215
Fyn	Pdgfrb	0.34505215
Sh2b1	Pdgfrb	0.34505215
Ywhae	Pdgfrb	0.34505215
Mecom	Jun	0.34505215
Hsd3b7	Krt18	0.34505215
Ywhae	Krt18	0.34505215
Pgls	Krt18	0.34505215
Cox15	Myl1	0.34505215
Dlst	Myl1	0.34505215
Ywhae	Myl1	0.34505215
E2f4	Ldha	0.34505215
Rab33b	Ldha	0.34505215
Pgls	Ldha	0.34505215
Hsd3b7	Ldha	0.34505215
Rab11b	Ldha	0.34505215
Rab19	Ldha	0.34505215
Cenpc1	Ldha	0.34505215
Abcf1	Ldha	0.34505215
Ywhae	Ldha	0.34505215
Kat2a	Ldha	0.34505215
Rab21	Ldha	0.34505215
B9d1	Ldha	0.34505215
Kat5	Ldha	0.34505215
Rab40c	Ldha	0.34505215
Ptprcap	Lck	0.34505215
Prkce	Lck	0.34505215
Ywhae	Ren1	0.34505215
Ptprcap	Cd4	0.34505215
Pgls	Hba-x	0.34505215
Ywhae	Hba-x	0.34505215
Rab38	Hc	0.34505215
Ywhae	Apoa4	0.34505215
Hsd3b4	Apoa4	0.34505215
Ppp1ca	Apoa4	0.34505215
Gm10681	Apoa4	0.34505215
Ywhaz	Gpi1	0.34505215
Hsd3b4	Gpi1	0.34505215
Gm10681	Gpi1	0.34505215
Dlg4	Gpi1	0.34505215
Pgls	Gpi1	0.34505215
Cbl	Gpi1	0.34505215
Ywhae	Gpi1	0.34505215
Ywhaz	Abcb1b	0.34505215
Rab22a	Ctsl	0.34505215
Pi4kb	Ctsl	0.34505215
Ctsb	Ctsl	0.34505215
Ptprcap	Ptprc	0.34505215
Ywhae	Ptprc	0.34505215
Cbl	Ptprc	0.34505215
Hsd3b7	Me1	0.34505215
Pgls	Me1	0.34505215
Ywhaz	Me1	0.34505215
Ywhae	Me1	0.34505215
Tnfrsf1a	Tnf	0.34505215
Ywhae	Gap43	0.34505215
Clstn1	Gap43	0.34505215
Ywhab	Gap43	0.34505215
Gm10681	Plau	0.34505215
Hsd3b4	Plau	0.34505215
Ywhaz	Plau	0.34505215
Ywhae	Plau	0.34505215
Ywhae	Gh	0.34505215
Hsd3b7	Cfh	0.34505215
Ywhae	Cfh	0.34505215
Ywhae	S100a4	0.34505215
Sting1	S100a4	0.34505215
Ywhae	Sparc	0.34505215
Xpo7	Sparc	0.34505215
Gm10681	Ttr	0.34505215
Hsd3b4	Ttr	0.34505215
Ywhae	Ttr	0.34505215
Pgls	Ckm	0.34505215
Cav3	Ckm	0.34505215
Prkce	Ckm	0.34505215
Snta1	Ckm	0.34505215
Xpo7	Ckm	0.34505215
Ywhae	Ckm	0.34505215
Agap2	Anxa2	0.34505215
Dlst	Anxa2	0.34505215
Ezh2	Anxa2	0.34505215
Ywhae	Orm2	0.34505215
Rab5c	Alb	0.34505215
Gm10681	Alb	0.34505215
Rab32	Alb	0.34505215
Ywhaz	Alb	0.34505215
Pgls	Alb	0.34505215
Ywhae	Alb	0.34505215
Hsd3b4	Alb	0.34505215
Hsd3b7	Alb	0.34505215
Ywhae	Rrm1	0.34505215
Hmga2	Rrm1	0.34505215
Ezh2	Krt4	0.34505215
Pgls	Serpina1a	0.34505215
Ywhae	Serpina1a	0.34505215
Hsd3b4	Serpina1a	0.34505215
Hsd3b7	Serpina1a	0.34505215
Ywhaz	Serpina1a	0.34505215
Gm10681	Serpina1a	0.34505215
Cdk9	Hsp90aa1	0.34505215
Ezh2	Hsp90aa1	0.34505215
Pgls	Hsp90aa1	0.34505215
Rab3a	Hsp90aa1	0.34505215
Ywhae	Hsp90aa1	0.34505215
Rab4b	Hsp90aa1	0.34505215
Ilk	Hsp90aa1	0.34505215
Map3k7	Hsp90aa1	0.34505215
Rab21	Hsp90aa1	0.34505215
Eed	Hsp90aa1	0.34505215
Nphp4	Hsp90aa1	0.34505215
Rpgrip1l	Hsp90aa1	0.34505215
Rab1a	Hsp90aa1	0.34505215
Gm10681	Hsp90aa1	0.34505215
Rab17	Hsp90aa1	0.34505215
Hsd3b7	Hsp90aa1	0.34505215
Iqcb1	Hsp90aa1	0.34505215
Rab33b	Hsp90aa1	0.34505215
Epop	Hsp90aa1	0.34505215
Gdi1	Hsp90aa1	0.34505215
Tsc1	Hsp90aa1	0.34505215
Hsd3b4	Hsp90aa1	0.34505215
Ago2	Hsp90aa1	0.34505215
Cav3	Hsp90aa1	0.34505215
Hdac4	Phkg1	0.34505215
Asf1a	Phkg1	0.34505215
Pgls	Aprt	0.34505215
Ywhae	Aprt	0.34505215
Dmd	Spta1	0.34505215
Ywhae	Spta1	0.34505215
Dsp	Spta1	0.34505215
Hmga2	Spta1	0.34505215
Cav3	Spta1	0.34505215
Hsd3b4	Spta1	0.34505215
Snta1	Spta1	0.34505215
Gm10681	Spta1	0.34505215
Ywhae	Ltf	0.34505215
Ywhae	Cbr2	0.34505215
Itgb1	Hck	0.34505215
Ywhae	Hck	0.34505215
Rab5c	Hsp90b1	0.34505215
Hspa5	Hsp90b1	0.34505215
Ywhaz	Hsp90b1	0.34505215
Cox15	Hsp90b1	0.34505215
Ywhae	Hsp90b1	0.34505215
Nphp4	Hsp90b1	0.34505215
Ywhab	Hsp90b1	0.34505215
Hspd1	Hsp90b1	0.34505215
Lrrk2	Hsp90b1	0.34505215
Ezh2	Hsp90b1	0.34505215
Gm10681	Hsp90b1	0.34505215
Hsd3b4	Hsp90b1	0.34505215
Hsd3b7	Hsp90b1	0.34505215
Lat	Hsp90b1	0.34505215
Pgls	Hsp90b1	0.34505215
Ywhae	S100a10	0.34505215
Grid2	Apoe	0.34505215
Tmcc2	Apoe	0.34505215
Ywhae	Apoe	0.34505215
Ppp1ca	Apoe	0.34505215
Ywhae	Sod1	0.34505215
Invs	Sod1	0.34505215
Hsd3b7	Sod1	0.34505215
Dlg4	Sod1	0.34505215
Gm10681	Sod1	0.34505215
Pgls	Sod1	0.34505215
Hsd3b4	Sod1	0.34505215
Cybb	Sod1	0.34505215
Ywhah	Sod1	0.34505215
Pag1	Mdh2	0.34505215
Ywhah	Mdh2	0.34505215
Ywhab	Mdh2	0.34505215
Pgls	Mdh2	0.34505215
Hsd3b4	Mdh2	0.34505215
Gm10681	Mdh2	0.34505215
B9d1	Mdh2	0.34505215
Ywhaz	Mdh2	0.34505215
Ywhae	Mdh2	0.34505215
Il6st	Il6	0.34505215
Ywhab	Nefl	0.34505215
Fxr1	Nefl	0.34505215
Shank3	Nefl	0.34505215
Nckap1	Nefl	0.34505215
Cnksr2	Nefl	0.34505215
Kalrn	Nefl	0.34505215
Agap2	Nefl	0.34505215
Dlgap1	Nefl	0.34505215
Cyfip1	Nefl	0.34505215
Dsp	Nefl	0.34505215
Ywhae	Nefl	0.34505215
Ywhae	C4bp	0.34505215
Hsd3b4	Krt13	0.34505215
Ywhae	Krt13	0.34505215
Ezh2	Krt13	0.34505215
Gm10681	Krt13	0.34505215
Rpgrip1l	Gnai2	0.34505215
Ywhae	Gnai2	0.34505215
Lrrk2	Gnai2	0.34505215
Ppp1ca	Gnai2	0.34505215
Dlg4	Gnai2	0.34505215
Ywhaz	Gnai2	0.34505215
Ywhab	Gnai2	0.34505215
Ehmt1	Polr2a	0.34505215
Hira	Polr2a	0.34505215
Aire	Polr2a	0.34505215
Cenpc1	Polr2a	0.34505215
Nsd2	Polr2a	0.34505215
Hdac4	Polr2a	0.34505215
Ywhae	Polr2a	0.34505215
Ehmt2	Polr2a	0.34505215
Nanog	Polr2a	0.34505215
Ash2l	Polr2a	0.34505215
Wdr5	Polr2a	0.34505215
Tada2a	Polr2a	0.34505215
Kat2a	Polr2a	0.34505215
Ywhae	Gzmc	0.34505215
Ywhae	Gzmf	0.34505215
Ywhae	Gzme	0.34505215
Dlg4	Lyz2	0.34505215
Git1	Lyz2	0.34505215
Atp6v1a	Lyz2	0.34505215
Ywhae	Lyz2	0.34505215
Pag1	Cd2	0.34505215
Ywhae	Hoxa5	0.34505215
Ywhae	Hoxb3	0.34505215
Gm10681	Spink1	0.34505215
Hsd3b4	Spink1	0.34505215
Dlg4	Pgk2	0.34505215
Gm10681	Itgb1	0.34505215
Hsd3b7	Itgb1	0.34505215
Ywhae	Itgb1	0.34505215
Ywhaz	Itgb1	0.34505215
Hsd3b4	Itgb1	0.34505215
Pgls	P4hb	0.34505215
Gm10681	P4hb	0.34505215
Prkab1	P4hb	0.34505215
Atp5b	P4hb	0.34505215
Hsd3b7	P4hb	0.34505215
Lrrk2	P4hb	0.34505215
Ywhaz	P4hb	0.34505215
Hsd3b4	P4hb	0.34505215
Ywhae	P4hb	0.34505215
Tbx5	Ncl	0.34505215
Cdk9	Ncl	0.34505215
Dnajc11	Ncl	0.34505215
Ywhae	Ncl	0.34505215
Xpo7	Ncl	0.34505215
Ywhaz	Ncl	0.34505215
Hsd3b7	Ncl	0.34505215
Kcnq1	Ncl	0.34505215
Ywhae	Pgk1	0.34505215
Dlg4	Pgk1	0.34505215
Pgls	Pgk1	0.34505215
Cnksr2	Pgk1	0.34505215
Cav3	Pgk1	0.34505215
Invs	Pgk1	0.34505215
Ywhaz	Pgk1	0.34505215
Gm10681	Pgk1	0.34505215
Hsd3b4	Pgk1	0.34505215
Hsd3b4	Ace	0.34505215
Gm10681	Ace	0.34505215
Ywhaz	Ace	0.34505215
Ywhae	Ace	0.34505215
Rpgrip1l	Fth1	0.34505215
Ywhae	Fth1	0.34505215
Cacna1c	Myl3	0.34505215
Ywhae	Myl3	0.34505215
Hmga2	Myl3	0.34505215
Ywhae	Prl3b1	0.34505215
Ywhae	Hmgn2	0.34505215
Ywhae	Gm10282	0.34505215
Snta1	Sod2	0.34505215
Cav3	Sod2	0.34505215
Ywhae	Sod2	0.34505215
Hsd3b4	Sod2	0.34505215
Gm10681	Sod2	0.34505215
Ywhae	Apoa2	0.34505215
Ywhaz	Apoa2	0.34505215
Hsd3b7	Apoa2	0.34505215
Pgls	Apoa2	0.34505215
Gm10681	Apoa2	0.34505215
Hsd3b4	Apoa2	0.34505215
H3c2	H2az1	0.34505215
H3c4	H2az1	0.34505215
H3c14	H2az1	0.34505215
Gm10681	H2az1	0.34505215
Hsd3b4	H2az1	0.34505215
H3c13	H2az1	0.34505215
Ywhae	H2az1	0.34505215
H3c6	H2az1	0.34505215
H3c3	H2az1	0.34505215
Hsd3b7	H2az1	0.34505215
H3c7	H2az1	0.34505215
H3c15	H2az1	0.34505215
Trpm7	Dnah2	0.34505215
Atp6v1a	Ubc	0.34505215
Grid2	Nrxn1	0.34505215
Ywhae	Anxa1	0.34505215
Ywhaz	Anxa1	0.34505215
Csf1	Anxa1	0.34505215
Hsd3b4	Eef1a1	0.34505215
Ilk	Eef1a1	0.34505215
Ezh2	Eef1a1	0.34505215
Krt17	Eef1a1	0.34505215
Grid2	Eef1a1	0.34505215
Herc2	Eef1a1	0.34505215
Mks1	Eef1a1	0.34505215
Gm10681	Eef1a1	0.34505215
Ywhab	Eef1a1	0.34505215
Rd3	Eef1a1	0.34505215
Rpgrip1l	Eef1a1	0.34505215
Cacna1c	Eef1a1	0.34505215
Trpm7	Eef1a1	0.34505215
Nr4a1	Eef1a1	0.34505215
Nrp1	Eef1a1	0.34505215
Eef1g	Eef1a1	0.34505215
Iqcb1	Eef1a1	0.34505215
Csf1	Eef1a1	0.34505215
Ywhaz	Eef1a1	0.34505215
Atp6v1a	Eef1a1	0.34505215
Hsd3b7	Eef1a1	0.34505215
Pgls	Eef1a1	0.34505215
Ywhae	Eef1a1	0.34505215
Snta1	Nid1	0.34505215
Cav3	Nid1	0.34505215
Ywhae	Nid1	0.34505215
Hsd3b7	Alad	0.34505215
Pgls	Alad	0.34505215
Ywhaz	Alad	0.34505215
Ywhae	Alad	0.34505215
Gm10681	Ctsb	0.34505215
Hsd3b4	Ctsb	0.34505215
Ywhae	Ctsb	0.34505215
Pi4kb	Ctsb	0.34505215
Tsc1	Eif4a2	0.34505215
Ywhae	Eif4a2	0.34505215
Xpo7	Eif4a2	0.34505215
Dlg4	Eif4a2	0.34505215
Invs	Eif4a2	0.34505215
Ywhab	Mapt	0.34505215
Ywhae	Mapt	0.34505215
Pgls	Txn1	0.34505215
Ywhae	Txn1	0.34505215
Dlg4	Txn1	0.34505215
Ywhaz	Gsta2	0.34505215
Ywhae	Gsta2	0.34505215
Ywhae	Gstm1	0.34505215
Hsd3b7	Gstm1	0.34505215
Ywhaz	Gstm1	0.34505215
Pgls	Gstm1	0.34505215
Hmga2	Tcea1	0.34505215
Il1r1	Il1b	0.34505215
Ywhae	Prf1	0.34505215
Ywhae	Rras	0.34505215
