database	pathway	gene
HALLMARK	TNFA_SIGNALING_VIA_NFKB	EFNA1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PHLDA2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PFKFB3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CCL5
HALLMARK	TNFA_SIGNALING_VIA_NFKB	YRDC
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IFNGR2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SQSTM1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BTG3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	GADD45B
HALLMARK	TNFA_SIGNALING_VIA_NFKB	KYNU
HALLMARK	TNFA_SIGNALING_VIA_NFKB	G0S2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BTG1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	MCL1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	VEGFA
HALLMARK	TNFA_SIGNALING_VIA_NFKB	MAP2K3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CDKN1A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CCN1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TANK
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IFIT2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IL18
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TUBB2A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IRF1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	FOS
HALLMARK	TNFA_SIGNALING_VIA_NFKB	OLR1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	RHOB
HALLMARK	TNFA_SIGNALING_VIA_NFKB	AREG
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NINJ1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ZBTB10
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PLPP3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	KLF4
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CXCL11
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SAT1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CSF1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	GPR183
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PMEPA1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PTPRE
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TLR2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ACKR3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	KLF10
HALLMARK	TNFA_SIGNALING_VIA_NFKB	MARCKS
HALLMARK	TNFA_SIGNALING_VIA_NFKB	LAMB3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CEBPB
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TRIP10
HALLMARK	TNFA_SIGNALING_VIA_NFKB	F2RL1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	KLF9
HALLMARK	TNFA_SIGNALING_VIA_NFKB	LDLR
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TGIF1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	RNF19B
HALLMARK	TNFA_SIGNALING_VIA_NFKB	DRAM1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	B4GALT1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	DNAJB4
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CSF2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PDE4B
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SNN
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PLEK
HALLMARK	TNFA_SIGNALING_VIA_NFKB	STAT5A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	DENND5A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CCND1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	DDX58
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SPHK1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CD80
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TNFAIP8
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CCNL1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	FUT4
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CCRL2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SPSB1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TSC22D1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	B4GALT5
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SIK1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CLCF1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NFE2L2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	FOSB
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PER1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NFAT5
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ATP2B1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IL12B
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IL6ST
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SLC16A6
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ABCA1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	HES1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BCL6
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IRS2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SLC2A3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CEBPD
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IL23A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SMAD3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TAP1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	MSC
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IFIH1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IL15RA
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TNIP2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BCL3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PANX1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	FJX1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	EDN1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	EIF1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BMP2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	DUSP4
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PDLIM5
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ICOSLG
HALLMARK	TNFA_SIGNALING_VIA_NFKB	GFPT2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	KLF2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TNC
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SERPINB8
HALLMARK	TNFA_SIGNALING_VIA_NFKB	MXD1
HALLMARK	HYPOXIA	PGK1
HALLMARK	HYPOXIA	PDK1
HALLMARK	HYPOXIA	GBE1
HALLMARK	HYPOXIA	PFKL
HALLMARK	HYPOXIA	ALDOA
HALLMARK	HYPOXIA	ENO2
HALLMARK	HYPOXIA	PGM1
HALLMARK	HYPOXIA	NDRG1
HALLMARK	HYPOXIA	HK2
HALLMARK	HYPOXIA	ALDOC
HALLMARK	HYPOXIA	GPI
HALLMARK	HYPOXIA	MXI1
HALLMARK	HYPOXIA	SLC2A1
HALLMARK	HYPOXIA	P4HA1
HALLMARK	HYPOXIA	ADM
HALLMARK	HYPOXIA	P4HA2
HALLMARK	HYPOXIA	ENO1
HALLMARK	HYPOXIA	PFKP
HALLMARK	HYPOXIA	AK4
HALLMARK	HYPOXIA	FAM162A
HALLMARK	HYPOXIA	PFKFB3
HALLMARK	HYPOXIA	VEGFA
HALLMARK	HYPOXIA	BNIP3L
HALLMARK	HYPOXIA	TPI1
HALLMARK	HYPOXIA	ERO1A
HALLMARK	HYPOXIA	KDM3A
HALLMARK	HYPOXIA	CCNG2
HALLMARK	HYPOXIA	LDHA
HALLMARK	HYPOXIA	GYS1
HALLMARK	HYPOXIA	GAPDH
HALLMARK	HYPOXIA	BHLHE40
HALLMARK	HYPOXIA	ANGPTL4
HALLMARK	HYPOXIA	JUN
HALLMARK	HYPOXIA	SERPINE1
HALLMARK	HYPOXIA	LOX
HALLMARK	HYPOXIA	GCK
HALLMARK	HYPOXIA	PPFIA4
HALLMARK	HYPOXIA	MAFF
HALLMARK	HYPOXIA	DDIT4
HALLMARK	HYPOXIA	SLC2A3
HALLMARK	HYPOXIA	IGFBP3
HALLMARK	HYPOXIA	NFIL3
HALLMARK	HYPOXIA	FOS
HALLMARK	HYPOXIA	RBPJ
HALLMARK	HYPOXIA	HK1
HALLMARK	HYPOXIA	CITED2
HALLMARK	HYPOXIA	ISG20
HALLMARK	HYPOXIA	GALK1
HALLMARK	HYPOXIA	WSB1
HALLMARK	HYPOXIA	PYGM
HALLMARK	HYPOXIA	STC1
HALLMARK	HYPOXIA	ZNF292
HALLMARK	HYPOXIA	BTG1
HALLMARK	HYPOXIA	PLIN2
HALLMARK	HYPOXIA	CSRP2
HALLMARK	HYPOXIA	VLDLR
HALLMARK	HYPOXIA	JMJD6
HALLMARK	HYPOXIA	EXT1
HALLMARK	HYPOXIA	F3
HALLMARK	HYPOXIA	PDK3
HALLMARK	HYPOXIA	ANKZF1
HALLMARK	HYPOXIA	UGP2
