database	pathway	gene
onco_sig	GLI1_UP.V1_DN	CACUL1
onco_sig	GLI1_UP.V1_DN	CCNL2
onco_sig	GLI1_UP.V1_DN	YIPF1
onco_sig	GLI1_UP.V1_DN	GTDC1
onco_sig	GLI1_UP.V1_DN	OPN3
onco_sig	GLI1_UP.V1_DN	SLC22A1
onco_sig	GLI1_UP.V1_DN	RNF10
onco_sig	GLI1_UP.V1_DN	RUNX1
onco_sig	GLI1_UP.V1_DN	SEPTIN9
onco_sig	GLI1_UP.V1_DN	CD2AP
onco_sig	GLI1_UP.V1_DN	ACSL6
onco_sig	GLI1_UP.V1_DN	ZMYND11
onco_sig	GLI1_UP.V1_DN	FOLR1
onco_sig	GLI1_UP.V1_DN	PPIL1
onco_sig	GLI1_UP.V1_DN	ESYT1
onco_sig	GLI1_UP.V1_DN	BTBD16
onco_sig	GLI1_UP.V1_DN	SPECC1
onco_sig	GLI1_UP.V1_UP	IGFBP6
onco_sig	GLI1_UP.V1_UP	CCND2
onco_sig	GLI1_UP.V1_UP	PTH1R
onco_sig	GLI1_UP.V1_UP	TXNDC12
onco_sig	GLI1_UP.V1_UP	M6PR
onco_sig	GLI1_UP.V1_UP	PPT2
onco_sig	GLI1_UP.V1_UP	STAU1
onco_sig	GLI1_UP.V1_UP	JCHAIN
onco_sig	GLI1_UP.V1_UP	TMOD3
onco_sig	GLI1_UP.V1_UP	SAR1A
onco_sig	GLI1_UP.V1_UP	ZBTB16
onco_sig	GLI1_UP.V1_UP	YBX1
onco_sig	GLI1_UP.V1_UP	SGTA
onco_sig	GLI1_UP.V1_UP	WEE1
onco_sig	GLI1_UP.V1_UP	TRIM23
onco_sig	GLI1_UP.V1_UP	BMERB1
onco_sig	GLI1_UP.V1_UP	NPHP1
onco_sig	GLI1_UP.V1_UP	IFT74
onco_sig	GLI1_UP.V1_UP	PRKD3
onco_sig	GLI1_UP.V1_UP	PLPP6
onco_sig	GLI1_UP.V1_UP	FEM1A
onco_sig	GLI1_UP.V1_UP	LMO7
onco_sig	GLI1_UP.V1_UP	C7orf50
onco_sig	GLI1_UP.V1_UP	ZC3H18
onco_sig	E2F1_UP.V1_DN	TGFB1I1
onco_sig	E2F1_UP.V1_DN	CXCL5
onco_sig	E2F1_UP.V1_DN	POU5F1
onco_sig	E2F1_UP.V1_DN	SAMD10
onco_sig	E2F1_UP.V1_DN	KLF2
onco_sig	E2F1_UP.V1_DN	STAT6
onco_sig	E2F1_UP.V1_DN	ENTPD6
onco_sig	E2F1_UP.V1_DN	VCAN
onco_sig	E2F1_UP.V1_DN	HMGCS1
onco_sig	E2F1_UP.V1_DN	ANXA8
onco_sig	E2F1_UP.V1_DN	POLD4
onco_sig	E2F1_UP.V1_DN	HES6
onco_sig	E2F1_UP.V1_DN	LIMA1
onco_sig	E2F1_UP.V1_DN	RALGDS
onco_sig	E2F1_UP.V1_DN	SNAPC3
onco_sig	E2F1_UP.V1_DN	IFT20
onco_sig	E2F1_UP.V1_DN	AVPI1
onco_sig	E2F1_UP.V1_DN	RAB11FIP5
onco_sig	E2F1_UP.V1_DN	IL1RL1
onco_sig	E2F1_UP.V1_DN	CSF1
onco_sig	E2F1_UP.V1_DN	ZC3H12A
onco_sig	E2F1_UP.V1_DN	ALDH3A1
onco_sig	E2F1_UP.V1_DN	ADAMTS1
onco_sig	E2F1_UP.V1_DN	PDGFRA
onco_sig	E2F1_UP.V1_DN	TGFB3
onco_sig	E2F1_UP.V1_DN	TNXB
onco_sig	E2F1_UP.V1_DN	SYNPO
onco_sig	E2F1_UP.V1_DN	SLC6A8
onco_sig	E2F1_UP.V1_DN	KLF3
onco_sig	E2F1_UP.V1_DN	PPTC7
onco_sig	E2F1_UP.V1_DN	CXCL1
onco_sig	E2F1_UP.V1_DN	ALAS2
onco_sig	E2F1_UP.V1_DN	FAS
onco_sig	E2F1_UP.V1_DN	SCAMP1
onco_sig	E2F1_UP.V1_DN	ABLIM1
onco_sig	E2F1_UP.V1_DN	ACKR3
onco_sig	E2F1_UP.V1_DN	MTARC2
onco_sig	E2F1_UP.V1_DN	RSRP1
onco_sig	E2F1_UP.V1_DN	EBF1
onco_sig	E2F1_UP.V1_DN	PLAT
onco_sig	E2F1_UP.V1_DN	CCL2
onco_sig	E2F1_UP.V1_DN	CCNG2
onco_sig	E2F1_UP.V1_DN	SERTAD1
onco_sig	E2F1_UP.V1_DN	F3
onco_sig	E2F1_UP.V1_DN	TRAF3IP2
onco_sig	E2F1_UP.V1_DN	CYP1B1
onco_sig	E2F1_UP.V1_DN	ANGPTL4
onco_sig	E2F1_UP.V1_DN	RGS2
onco_sig	E2F1_UP.V1_DN	SLC1A1
onco_sig	E2F1_UP.V1_DN	VPS45
onco_sig	E2F1_UP.V1_DN	USP19
onco_sig	E2F1_UP.V1_DN	XBP1
onco_sig	E2F1_UP.V1_DN	SEC23A
onco_sig	E2F1_UP.V1_DN	LIPE
onco_sig	E2F1_UP.V1_DN	AQP8
onco_sig	E2F1_UP.V1_DN	DTX2
onco_sig	E2F1_UP.V1_DN	BCL6
onco_sig	E2F1_UP.V1_DN	LXN
onco_sig	E2F1_UP.V1_DN	SERAC1
onco_sig	E2F1_UP.V1_DN	DOK1
onco_sig	E2F1_UP.V1_DN	FCHO1
onco_sig	E2F1_UP.V1_DN	PGD
onco_sig	E2F1_UP.V1_DN	LRIG1
onco_sig	E2F1_UP.V1_DN	LCLAT1
onco_sig	E2F1_UP.V1_DN	B4GALT3
onco_sig	E2F1_UP.V1_DN	LBP
onco_sig	E2F1_UP.V1_DN	COL3A1
onco_sig	E2F1_UP.V1_DN	WDFY2
onco_sig	E2F1_UP.V1_DN	PTGS2
onco_sig	E2F1_UP.V1_DN	PLXND1
onco_sig	E2F1_UP.V1_DN	IFIT2
onco_sig	E2F1_UP.V1_DN	TRAPPC4
onco_sig	E2F1_UP.V1_DN	TUBG2
onco_sig	E2F1_UP.V1_DN	PKD1
onco_sig	E2F1_UP.V1_DN	APBB1IP
onco_sig	E2F1_UP.V1_DN	MDN1
