OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B
Snca	Gsk3b
Snca	Gnb1
Snca	Hist1h1d
Snca	Hsp90ab1
Snca	Hsp90aa1
Snca	Hspa4
Snca	Hnrnph1
Snca	Actr3
Snca	Dync1li1
Snca	Rtcb
Snca	Kpnb1
Park7	Ywhaz
Park7	Pdap1
Park7	Nudt21
Park7	Ywhag
Park7	Oscp1
Park7	Rps3
Park7	Fau
Park7	Hspd1
Park7	Rpl24
Park7	Rpl26
Park7	Rpl4
Park7	Acta1
Park7	Actc1
Park7	Atp5b
Park7	Acly
Park7	Copb2
Park7	Basp1
Park7	Calr
Park7	Cat
Park7	Sept7
Park7	Cct3
Park7	Cct4
Park7	Cfl1
Park7	Mdh1
Park7	Dpysl2
Park7	Edf1
Park7	Eef1a1
Park7	Eef2
Park7	Hmgb1
Park7	Rpl27
Park7	Myl6l
Park7	Rps10
Park7	Rps20
Park7	Rps25
Park7	Rps6
Park7	Rpl23a
Park7	Rpl32
Park7	Rpl8
Park7	Manf
Park7	Cycs
Park7	Eif2s3x
Park7	Etf1
Park7	Gtf2f1
Park7	Gars
Park7	Lrrc59
Park7	Map1b
Park7	Phb
Park7	Arhgdia
Park7	Rpl23
Park7	Rps5
Park7	Ccdc130
Park7	Rpl17
Park7	Sept11
Park7	Yars
Park7	Uqcrh
Park7	Hnrnpk
Park7	Tcea1
Park7	Tpm3
Park7	Npm1
Park7	Hnrnpa1
Park7	Clta
Park7	Suclg1
Park7	Sod1
Park7	Tpi1
Park7	Tuba1a
Park7	Tuba1b
Park7	Tubb5
Park7	Vcp
Park7	Sept2
Sh3gl2	Synj1
Sh3gl2	Dnm1
Cdk5	Synj1
Cdk5	Dnm1
Ppp3ca	Synj1
Ppp3ca	Dnm1
Syp	Sncaip
Csnk2a1	Grin2b
Jak2	Stat1
Jak2	Stat5a
Irs1	Pik3cg
Wasl	Hsp90aa1
Sh2b1	Jak2
Rac1	Tnfrsf12a
Tsc2	Esr1
Egln3	Wdr83
F2rl1	Cryaa
F2rl1	Cryab
Kctd10	Pcna
Kctd10	Pold2
Raf1	Rfxank
Cbl	Map3k11
Stub1	Crem
Stub1	Mapk7
Mapk7	Rps6ka1
Rgs19	Gipc1
Pabpc1	Tob2
L1cam	Tob2
Cyp3a62	Vcp
Usp2	Ubc
Tg	Hyou1
Tg	Hsp90b1
Tg	Hspa5
Tg	Pdia4
Hspa5	Hyou1
Hspa5	Hsp90b1
Hspa5	Pdia4
Pdia4	Hyou1
Pdia4	Hsp90b1
Hspa5	Thbs1
Pdia4	Thbs1
Hyou1	Thbs1
Hsp90b1	Thbs1
Epn1	Cltc
Epn1	Clta
Amph	Cltc
Amph	Clta
Amph	Fabp4
Amph	Epn1
Bin1	Cltc
Bin1	Clta
Bin1	Fabp4
Bin1	Ap2a1
Bin1	Ap2b1
Nlgn1	Dlg4
Nlgn1	Dlg3
Nlgn1	Dlg2
Nlgn1	Magi1
Nlgn1	Magi2
Nlgn1	Magi3
Nlgn1	Shank1
Nlgn1	Shank3
Nlgn1	Pick1
Nlgn1	Gopc
Nlgn1	Sipa1l1
Nlgn1	Pdzrn3
Nlgn2	Dlg4
Nlgn2	Dlg3
Nlgn2	Dlg2
Nlgn2	Magi1
Nlgn2	Magi2
Nlgn2	Magi3
Nlgn2	Shank1
Nlgn2	Shank3
Nlgn2	Pick1
Nlgn2	Gopc
Nlgn2	Sipa1l1
Nlgn2	Pdzrn3
Sdk2	Dlg4
Sdk2	Dlg3
Sdk2	Dlg2
Sdk2	Magi1
Sdk2	Magi2
Sdk2	Magi3
Sdk2	Gopc
Sdk2	Sipa1l1
Sdk2	Shank2
Sdk2	Scrib
Efnb2	Dlg4
Efnb2	Pick1
Efnb2	Sipa1l1
Efnb2	Pdzrn3
Efnb2	Grip1
Efnb2	Sdcbp
Sdc2	Grip1
Sdc2	Sdcbp
Igsf4	Grip1
Igsf4	Sdcbp
Gria2	Gipc1
Gria2	Grip1
Gria2	Rgs3
Gria2	Sdcbp
Gria2	Pick1
Grik1	Pick1
Grik1	Sdcbp
Grik2	Pick1
Mafk	Nfe2l2
Nfe2l2	Chd6
Daxx	Ar
Camk2d	Grin2b
Camk2d	Grin2a
Jak2	Irs1
Jak2	Irs2
Grb2	Irs1
Grb2	Irs2
Irs2	Pik3r1
Dpysl2	Tuba1a
Dpysl2	Tubb3
Nfasc	Ank2
Prkca	Gja1
Prkcb	Gja1
Prkcg	Gja1
Sptan1	Epb4.1
Sptbn1	Epb4.1
Sptan1	Actn1
Sptbn1	Actn1
Sptan1	Epb41l2
Sptbn1	Epb41l2
Tardbp	Ubc
Park2	Tardbp
Nfya	Sp1
Nfyc	Sp1
Snap25	Stx1b
Snap23	Stx1b
Stx1a	Hgs
Syp	Hgs
Syp	Snap25
Pawr	Tfpt
Cdkn1a	Cebpa
Rb1	Dgkz
Rbl1	Dgkz
Rbl2	Dgkz
Arrb1	Gnrhr
Arrb1	Trhr
Trhr	Mlnr
Prnp	Maged1
Cdk2	Hist1h1t
Nr3c1	Hsp90aa1
Nr3c1	Hspa4
Rala	Ralbp1
Rala	Ybx3
Bin1	Amph
Epn1	Ap2m1
Epn1	Ap2a2
Cbl	Grb2
Cbl	Shc1
Ntrk1	Gipc1
Ntrk2	Myo6
Scn2a	Calm1
Scn3a	Calm1
Scn4a	Calm1
Gsk3b	Csk
Macf1	Apc
Macf1	Axin1
Macf1	Ctnnb1
Macf1	Gsk3b
Apc	Axin1
Grpel1	Hspa9
Map2k2	Rgs12
Rgs12	Araf
Rgs12	Braf
Rgs12	Hras
Rgs12	Nras
Ntrk1	Braf
Ntrk1	Map2k2
Ntrk1	Hras
Ntrk1	Rgs12
Rgs12	Dlgap3
Mob4	Nme2
Mob4	Eps15
Mob4	Fth1
Nme2	Eps15
Nme2	Dnm1
Necap1	Amph
Necap1	Bin1
Ap2a2	Necap1
Ap2a2	Bin1
Ap2a2	Snap91
Ap2a2	Eps15
Ap2a2	Synj1
Ap2a2	Dennd1a
Necap1	Snap91
Necap1	Eps15
Necap1	Dennd1a
Necap1	Synj1
Necap2	Amph
Necap2	Bin1
Necap2	Eps15
Necap2	Dennd1a
Necap2	Synj1
Caskin1	Abi2
Grasp	Dlgap3
Grasp	Cyth2
Magi2	Grasp
Dlg4	Grasp
Apba2	Grasp
Cdc20	Ywhae
Cdc20	Tubg1
Ngfr	Ngfrap1
Tsc1	Ngfrap1
Foxo4	Ogt
Tmed9	Stx5
Tmed9	Lman1
Tmed9	Tmed1
Tmed9	Tmed2
Tmed9	Tmed10
Stx1a	Kcnb1
Sptan1	Grin2b
Cish	Ghr
Homer1	Grm1
Homer2	Grm1
Homer3	Grm1
Kcnd2	Kcnip2
Cyth2	Arf6
Vcp	Ube4a
Vcp	Nploc4
Nploc4	Ufd1l
Nsfl1c	Nploc4
Tanc1	Dlg1
Tanc1	Dlg4
Tanc1	Homer1
Tanc1	Sptan1
Tanc1	Dlgap1
Tanc1	Camk2a
Tanc1	Grin2b
Tanc1	Gria1
Tanc1	Ina
Ubc	Ywhab
Ubc	Ywhae
Ubc	Ywhah
Ubc	Ywhag
Ubc	Ywhaq
Ubc	Ywhaz
Ubc	Cnp
Ubc	Pde12
Ubc	Psmd1
Ubc	Hmgcr
Ubc	Rps10
Ubc	Rps2
Ubc	Rps20
Ubc	Rps21
Ubc	Rps27a
Ubc	Rps3
Ubc	Rps8
Ubc	Rpsa
Ubc	Slc3a2
Ubc	Htr2a
Ubc	Rpl13a
Ubc	Rpl18
Ubc	Rpl19
Ubc	Rpl23a
Ubc	Rpl24
Ubc	Rpl27
Ubc	Rpl27a
Ubc	Rpl3
Ubc	Rpl30
Ubc	Rpl4
Ubc	Rpl6
Ubc	Rpl9
Ubc	Pfkp
Ubc	Pfkl
Ubc	Abhd17a
Ubc	Acp6
Ubc	Anp32e
Ubc	Actb
Ubc	Actr2
Ubc	Arpc1a
Ubc	Acvr1
Ubc	Scd1
Ubc	Dbi
Ubc	Acyp1
Ubc	Necap1
Ubc	Appl2
Ubc	Ahcy
Ubc	Adcy9
Ubc	Adcy2
Ubc	Adcy3
Ubc	Adcy5
Ubc	Adcy7
Ubc	Cap2
Ubc	Arfgef1
Ubc	Arl2
Ubc	Arl8b
Ubc	Aarsd1
Ubc	Aldh3b1
Ubc	Actn1
Ubc	Eno1
Ubc	Ina
Ubc	Maoa
Ubc	Aes
Ubc	Amph
Ubc	Aup1
Ubc	Slc4a2
Ubc	Slc4a3
Ubc	Anks1b
Ubc	Ankrd13a
Ubc	Ankrd46
Ubc	Anxa5
Ubc	Anxa6
Ubc	Ap2a2
Ubc	Ap2b1
Ubc	Ap2m1
Ubc	Apoe
Ubc	App
Ubc	Aqp4
Ubc	Arc
Ubc	Rars
Ubc	Armcx3
Ubc	Actr1b
Ubc	Arvcf
Ubc	Got1
Ubc	Astn1
Ubc	Atxn10
Ubc	Atp6v1g1
Ubc	Abca2
Ubc	Abcd3
Ubc	Abcg1
Ubc	Kcnj10
Ubc	Bsn
Ubc	Bcap31
Ubc	Gne
Ubc	Ubl7
Ubc	Bmpr1a
Ubc	Basp1
Ubc	Begain
Ubc	Bai3
Ubc	Bcat1
Ubc	Cdh2
Ubc	Ppp3r1
Ubc	Pnck
Ubc	Kcnma1
Ubc	Atp2c1
Ubc	Calm1
Ubc	Camkv
Ubc	Camk2a
Ubc	Camk2d
Ubc	Camk2g
Ubc	Prkaca
Ubc	Prkar2b
Ubc	Caprin1
Ubc	Csnk1a1
Ubc	Csnk1g1
Ubc	Ctnnbip1
Ubc	Cav1
Ubc	Cnrip1
Ubc	Cadm2
Ubc	Cadm3
Ubc	Tmem30a
Ubc	Cend1
Ubc	Cdc42
Ubc	Mcam
Ubc	Cct8
Ubc	Clic4
Ubc	Clic5
Ubc	Chkb
Ubc	Pcyt1b
Ubc	Cspg5
Ubc	Kit
Ubc	Snap91
Ubc	Cltc
Ubc	Clta
Ubc	Cldnd1
Ubc	Cldn11
Ubc	Clasp2
Ubc	Cmip
Ubc	Copb2
Ubc	Cfl1
Ubc	Ccdc50
Ubc	Ccdc82
Ubc	Ccdc93
Ubc	Cnksr2
Ubc	Cops2
Ubc	Cops3
Ubc	Cbfa2t3
Ubc	Ckb
Ubc	Ckmt1b
Ubc	Cry2
Ubc	Ctbp2
Ubc	Celf2
Ubc	Cul1
Ubc	Cul3
Ubc	Cul5
Ubc	Cxcl2
Ubc	Cdk5
Ubc	Chic2
Ubc	Aco1
Ubc	Dync1h1
Ubc	Dync1i1
Ubc	Dync2h1
Ubc	Phgdh
Ubc	Dlgap1
Ubc	Dlgap2
Ubc	Dcun1d1
Ubc	Ddi1
Ubc	Dhrs7b
Ubc	Alad
Ubc	Lrrc7
Ubc	Crmp1
Ubc	Dpysl2
Ubc	Dpysl3
Ubc	Dpysl4
Ubc	Dpysl5
Ubc	Dlg2
Ubc	Ddb1
Ubc	Dnaja2
Ubc	Dnajb4
Ubc	Dnajc5
Ubc	Dstyk
Ubc	Map2k2
Ubc	Dusp15
Ubc	Dctn1
Ubc	Dctn2
Ubc	Dnm1
Ubc	Dnm1l
Ubc	Dynll1
Ubc	Dynlrb1
Ubc	Anapc4
Ubc	Herc2
Ubc	Itch
Ubc	Mib1
Ubc	Trim2
Ubc	Trim32
Ubc	Mgrn1
Ubc	Trim23
Ubc	Ubr4
Ubc	Efhd2
Ubc	Ehd4
Ubc	Elavl2
Ubc	Elavl4
Ubc	Eef1a1
Ubc	Eef1a2
Ubc	Eef2
Ubc	Elovl2
Ubc	Gpr37l1
Ubc	Ngef
Ubc	Eif4a2
Ubc	Eif3a
Ubc	Slc1a3
Ubc	Slc1a2
Ubc	Exd2
Ubc	Exoc6b
Ubc	Exosc8
Ubc	Esyt1
Ubc	Ezr
Ubc	Capza1
Ubc	Capzb
Ubc	Fam49b
Ubc	Fam49a
Ubc	Faim2
Ubc	Faf1
Ubc	Fscn1
Ubc	Fasn
Ubc	Fhdc1
Ubc	Cx3cl1
Ubc	Aldoa
Ubc	Aldoc
Ubc	Fxyd6
Ubc	Gspt1
Ubc	Gabra1
Ubc	Gabra2
Ubc	Gabbr2
Ubc	Gabbr1
Ubc	Ggt7
Ubc	Gdap1
Ubc	Gjb1
Ubc	Gjc2
Ubc	Gjb6
Ubc	Gjc3
Ubc	Gsn
Ubc	Gcm2
Ubc	Gfap
Ubc	Gnpda2
Ubc	Gpi
Ubc	Gria3
Ubc	Gria2
Ubc	Glul
Ubc	Nadsyn1
Ubc	Gapdh
Ubc	Gk
Ubc	Gpd1
Ubc	Pygb
Ubc	Gltp
Ubc	Gpm6a
Ubc	Golga7
Ubc	Gprc5b
Ubc	Gpr56
Ubc	Gripap1
Ubc	Grb2
Ubc	Ran
Ubc	Gda
Ubc	Gnai1
Ubc	Gng7
Ubc	Gnao1
Ubc	Gnaq
Ubc	Gnas
Ubc	Gnaz
Ubc	Gnb2l1
Ubc	Gnb5
Ubc	Hdac11
Ubc	Hspa4
Ubc	Hspa12a
Ubc	Hspa4l
Ubc	Hsph1
Ubc	Hsp90ab1
Ubc	Hebp1
Ubc	Hba1
Ubc	Hbb
Ubc	Hgs
Ubc	Hnrnpc
Ubc	Hnrnpk
Ubc	Hnrnpa2b1
Ubc	Hk1
Ubc	Hmgb1
Ubc	Hpcal1
Ubc	Hist1h1t
Ubc	H2afy2
Ubc	Hist2h2aa3
Ubc	LOC680063
Ubc	H2afz
Ubc	Hist2h2be
Ubc	H3f3b
Ubc	Homer1
Ubc	Hspa8
Ubc	Hip1
Ubc	Ikbip
Ubc	Insr
Ubc	Ide
Ubc	Itm2a
Ubc	Itm2b
Ubc	Itm2c
Ubc	Itgb2
Ubc	Ilf2
Ubc	Ilf3
Ubc	Il1rap
Ubc	Kcnj16
Ubc	Slc11a2
Ubc	Cd47
Ubc	Mbp
Ubc	Tpm3
Ubc	Bcas1
Ubc	Slc4a4
Ubc	Nr3c2
Ubc	Mag
Ubc	Atp2b4
Ubc	Atp2b3
Ubc	Jam3
Ubc	Jph4
Ubc	Kif5c
Ubc	Lmnb1
Ubc	Lancl2
Ubc	Cyp51
Ubc	Lss
Ubc	Bag6
Ubc	Lphn1
Ubc	Lingo1
Ubc	Lrrn1
Ubc	Lrrc57
Ubc	Lrrc8e
Ubc	Lppr4
Ubc	Ppap2b
Ubc	Cdip1
Ubc	Ldha
Ubc	Ldhb
Ubc	Dnajb2
Ubc	Acsbg1
Ubc	Laptm4a
Ubc	Mdh1
Ubc	Gmppa
Ubc	Madd
Ubc	Map1b
Ubc	Matr3
Ubc	Mlc1
Ubc	Magi2
Ubc	Mfap3
Ubc	Map1a
Ubc	Map2
Ubc	Map6
Ubc	Mapre2
Ubc	Mapre3
Ubc	Mapt
Ubc	Fis1
Ubc	Timm8b
Ubc	Tomm40l
Ubc	Tomm70a
Ubc	Mtfp1
Ubc	Rhot2
Ubc	Mapk9
Ubc	Map3k14
Ubc	Msn
Ubc	Slc16a1
Ubc	Chrm1
Ubc	Bin1
Ubc	Plp1
Ubc	Mobp
Ubc	Myl1
Ubc	Myl6l
Ubc	Mprip
Ubc	Myo1d
Ubc	Ddah2
Ubc	Slc9a3r1
Ubc	Sirt2
Ubc	Me1
Ubc	Por
Ubc	Nbr1
Ubc	Nckap1
Ubc	Ndfip1
Ubc	Nedd8
Ubc	Uba3
Ubc	Ncam1
Ubc	Nrxn2
Ubc	Ncald
Ubc	Ncdn
Ubc	Nefl
Ubc	Nefm
Ubc	Nrgn
Ubc	Nlgn2
Ubc	Gap43
Ubc	Sept3
Ubc	Nsg1
Ubc	Caly
Ubc	Grin2b
Ubc	Nsf
Ubc	Nup155
Ubc	Nutf2
Ubc	Nme1
Ubc	Nme2
Ubc	Nap1l1
Ubc	Nap1l5
Ubc	Olr1644
Ubc	Optn
Ubc	P2ry12
Ubc	Palm
Ubc	Ngly1
Ubc	Pam
Ubc	Ppia
Ubc	Fkbp1a
Ubc	Cask
Ubc	Ppl
Ubc	Prdx1
Ubc	Phlpp1
Ubc	Pitpna
Ubc	Pgk1
Ubc	Pgam1
Ubc	Phkg1
Ubc	Psat1
Ubc	Phyhip
Ubc	Atp2b1
Ubc	Atp2b2
Ubc	Pllp
Ubc	Pafah1b1
Ubc	Pabpc1
Ubc	Ptrf
Ubc	Kcna1
Ubc	Kcna2
Ubc	Kcna4
Ubc	Kcna6
Ubc	Kcnc2
Ubc	Kcnh7
Ubc	Hcn1
Ubc	Hcn2
Ubc	Arl6ip5
Ubc	Lmna
Ubc	Pdcd6ip
Ubc	Prepl
Ubc	Ptges3
Ubc	Psma1
Ubc	Psma2
Ubc	Psma6
Ubc	Psmc2
Ubc	Psmc1
Ubc	Psmc4
Ubc	Psmc3
Ubc	Psmb5
Ubc	Adrm1
Ubc	Psmd7
Ubc	Psmd13
Ubc	Abca3
Ubc	Prmt5
Ubc	Birc6
Ubc	Efr3a
Ubc	Epb41l2
Ubc	Epb41l3
Ubc	Pacsin1
Ubc	Prkcb
Ubc	Prkcg
Ubc	Lin7a
Ubc	Ndrg2
Ubc	Ppp2r1a
Ubc	Qk
Ubc	Rufy3
Ubc	Aifm3
Ubc	Slc12a2
Ubc	Prr7
Ubc	Selplg
Ubc	Tmem151a
Ubc	Map6d1
Ubc	Pygo2
Ubc	Pkm
Ubc	Gdi1
Ubc	Gdi2
Ubc	Rabep1
Ubc	Rabep2
Ubc	Rad23a
Ubc	Lamtor1
Ubc	Syngap1
Ubc	Rhog
Ubc	Rac1
Ubc	Rab14
Ubc	Rab1b
Ubc	Rab3c
Ubc	Rab6a
Ubc	Rab8b
Ubc	Rala
Ubc	Ralb
Ubc	Rasgrf1
Ubc	Copa
Ubc	RGD1561590
Ubc	Tusc2
Ubc	Tmem127
Ubc	Gstm3
Ubc	Zim1
Ubc	Rab5c
Ubc	Gng13
Ubc	Cbx1
Ubc	Sec23ip
Ubc	LOC680955
Ubc	Napg
Ubc	Gng3
Ubc	Gpm6b
Ubc	Tmem59
Ubc	Gars
Ubc	Atp6v1a
Ubc	Sema5a
Ubc	LOC100360426
Ubc	Dctn3
Ubc	Cct7
Ubc	Brk1
Ubc	Psmc6
Ubc	LOC100360342
Ubc	Erbb3
Ubc	Ptprc
Ubc	Reln
Ubc	Rcbtb1
Ubc	Rgs7
Ubc	Rcor3
Ubc	Rtn4ip1
Ubc	Cul4a
Ubc	Arhgdia
Ubc	Arhgap26
Ubc	Rhob
Ubc	Prps1
Ubc	Rimbp2
Ubc	rnf141
Ubc	Sccpdh
Ubc	Dlg3
Ubc	Dlg1
Ubc	Sec14l2
Ubc	Scamp1
Ubc	Scamp5
Ubc	Gp1bb
Ubc	Sept11
Ubc	Sept7
Ubc	Sept8
Ubc	Sept9
Ubc	Pak2
Ubc	Ppp2cb
Ubc	Ppp3ca
Ubc	Ppp1ca
Ubc	Srp68
Ubc	Srp9
Ubc	Ccsap
Ubc	Fam81a
Ubc	Arl8a
Ubc	Coro1c
Ubc	Eps15l1
Ubc	Pnmal2
Ubc	Fam115a
Ubc	Reep2
Ubc	Rgs20
Ubc	RGD1307235
Ubc	G3bp2
Ubc	Zfp280d
Ubc	Trappc5
Ubc	Prss56
Ubc	Sgta
Ubc	Sgtb
Ubc	Snap25
Ubc	Slc6a1
Ubc	Slc6a11
Ubc	Slc6a9
Ubc	Scn1a
Ubc	Scn2a
Ubc	Scn3a
Ubc	Scn8a
Ubc	Scn2b
Ubc	Scn3b
Ubc	Slc8a1
Ubc	Slc8a2
Ubc	Slc24a2
Ubc	Atp1a1
Ubc	Atp1a2
Ubc	Atp1a3
Ubc	Atp1b1
Ubc	Slc38a3
Ubc	Slc6a17
Ubc	Slc20a1
Ubc	Slc20a2
Ubc	Slc12a5
Ubc	Slc13a3
Ubc	Slc2a3
Ubc	Slc22a23
Ubc	Slco1c1
Ubc	Snx3
Ubc	Tut1
Ubc	Sptan1
Ubc	Sptbn1
Ubc	Skp1
Ubc	Smpd3
Ubc	Srcin1
Ubc	Stam
Ubc	Stmn3
Ubc	Sarm1
Ubc	Stk11ip
Ubc	Stip1
Ubc	Syn1
Ubc	Syn2
Ubc	Sv2a
Ubc	Sv2b
Ubc	Syngr1
Ubc	Synj1
Ubc	Synj2bp
Ubc	Synpo
Ubc	Syt1
Ubc	Syt11
Ubc	Syt13
Ubc	Syt2
Ubc	Syt3
Ubc	Syt5
Ubc	Sdc4
Ubc	Stx1a
Ubc	Stx1b
Ubc	Stx6
Ubc	Stx7
Ubc	Stx8
Ubc	Stxbp1
Ubc	Snca
Ubc	Sncb
Ubc	Tcerg1
Ubc	Tcp1
Ubc	Cct3
Ubc	Tekt2
Ubc	Ttc9c
Ubc	Txn1
Ubc	Txnip
Ubc	Txnl1
Ubc	Traf3
Ubc	Trappc3
Ubc	Tecr
Ubc	Taldo1
Ubc	Tceal1
Ubc	Taf6
Ubc	Trim28
Ubc	Tfrc
Ubc	Tkt
Ubc	Tmub1
Ubc	Tmem106b
Ubc	Tmem176b
Ubc	Tmem59l
Ubc	Tpi1
Ubc	Tpp2
Ubc	Rtcb
Ubc	Tmod2
Ubc	Tpm1
Ubc	Wars
Ubc	Tsc22d1
Ubc	Tuba4a
Ubc	Tubb2a
Ubc	Tubb4b
Ubc	Tubb5
Ubc	Tppp3
Ubc	Tuba1a
Ubc	Tbcc
Ubc	Ttyh3
Ubc	Nme8
Ubc	Fgr
Ubc	Mertk
Ubc	Sirpa
Ubc	Ubqln1
Ubc	Ubqln2
Ubc	Usp13
Ubc	Usp4
Ubc	Uchl1
Ubc	Usp14
Ubc	Usp24
Ubc	Usp25
Ubc	Usp34
Ubc	Usp5
Ubc	Usp9x
Ubc	Yod1
Ubc	Otub1
Ubc	Uba1
Ubc	Ube2d1
Ubc	Ube2l3
Ubc	Ube2n
Ubc	Ube2o
Ubc	Ube2ql1
Ubc	Ogt
Ubc	Cmpk1
Ubc	Zdhhc20
Ubc	Ank3
Ubc	Smim14
Ubc	Fam214b
Ubc	Mturn
Ubc	Bles03
Ubc	Slc14a1
Ubc	Vps36
Ubc	Vps26a
Ubc	Vps45
Ubc	Vps52
Ubc	Vangl2
Ubc	Vamp1
Ubc	Vamp3
Ubc	Vamp7
Ubc	Slc17a7
Ubc	Slc17a6
Ubc	Vim
Ubc	Vcl
Ubc	Vsnl1
Ubc	Vdac1
Ubc	Vdac3
Ubc	Cacng8
Ubc	Cacna1c
Ubc	Cacna1b
Ubc	Kcnab2
Ubc	Atp6v0a1
Ubc	Atp6v1b2
Ubc	Atp6v1e1
Ubc	Wdr1
Ubc	Wasf1
Ubc	Xpnpep1
Ubc	Xirp2
Ubc	Zwint
Hunk	Nedd4
March3	Ubc
March2	Ubc
March2	March3
Fcer1g	Mapk1
Fcer1g	Prkcd
Rac1	Mapk1
Rac1	Prkcd
Ms4a2	Lyn
Ms4a2	Akt1
Hsp90aa1	Ms4a2
Hsp90aa1	Akt1
Hsp90aa1	Lyn
Hsp90aa1	Egfr
Hsp90aa1	Prkcd
Abl1	Wasf1
Wasf1	Prkaca
Ubqln1	Efemp1
Ubqln1	Nbl1
Siah1	Mapk8
Dlg1	Cav3
Dlg1	Kcna5
Cav3	Kcna5
Mdk	Braf
Mdk	Raf1
Mdk	Araf
Hras	Braf
Hras	Raf1
Hras	Araf
Psme1	Braf
Braf	Ywhab
Dync1i1	Dctn1
Dync1i1	Dctn2
Mdm2	Foxo1
Sptan1	Slc8a1
Slc8a1	Cacna2d1
Slc8a1	Atp1a2
Slc8a1	Atp1a3
Slc8a1	Ank2
Atp1a1	Atp2b1
Atp1a1	Ank2
Atp1a1	Ank3
Slc8a1	Sptbn1
Slc8a1	Atp2a2
Slc8a1	Itpr1
Atp1a2	Itpr1
Atp1a3	Itpr1
Atp1a2	Atp2b1
Atp1a2	Ank2
Atp1a3	Ank2
Atp1a2	Sptan1
Atp1a3	Sptan1
Atp1a2	Sptbn1
Sptan1	Ank2
Sptan1	Sptbn1
Sptan1	Itpr1
Sptbn1	Ank2
Sptbn1	Itpr1
Sptbn1	Cacna2d1
Itpr1	Ank2
Esr1	Tsc1
Calm1	Tsc1
Calm1	Tsc2
Anpep	Lmnb1
Tmpo	Lmnb1
Anpep	Vim
Ccna1	Ctnnb1
Ccne1	Ctnnb1
Cdk2	Ctnnb1
Epor	Jak2
Jak2	Nfkbia
Camk2a	Lbr
Prkaca	Lbr
Csnk2a1	Lbr
Yipf3	Yipf4
Kcna2	Cntnap2
Kcnab2	Cntnap2
Kcnab2	Kcna2
Grm3	Camk2a
Grm2	Camk2a
Camk2a	Grm4
Camk2a	Grm7
Pcm1	Camk2b
Camk2b	Cdc20
Camk2b	Ywhae
Camk2b	Tubg1
Ndn	Rtn4
Mapk7	Hsp90ab1
Mapk7	Cdc37
Gclc	Gclm
Htt	Tubb5
Mvk	Ube2i
Mvk	Hspa5
Mvk	Eif5a
Mvk	Rps20
Cav1	Nf1
Fnbp1	Rnd2
Plxnb1	Rnd1
Plxnb1	Rnd3
Fnbp1	Wasl
Htr2b	Agtr1a
Mafa	Mapk14
Grin2d	Nedd4
Stau2	Nup62cl
Stau2	Nup62
Stau2	Nxf1
Stau2	Rbm8a
Cdc42	Pak2
Pak2	Mbp
Pak1	Cdc42
Irs1	Sqstm1
Srcin1	Sorbs3
Srcin1	Syp
Nup93	Nup62
Cav1	Cav2
Sipa1l1	Btrc
Sipa1l1	Ubc
Psmd4	Tubg1
Psmd4	Ywhae
Psmd4	Id1
Psmd4	Rpn1
Psmd4	Psmd13
Runx2	Cbfb
Vegfa	Nrp1
P2rx4	P2rx7
Pik3r1	Irs3
Pik3r1	Pik3ca
Abl1	Grb2
Stat3	Pdia3
Traf2	Ubc
Prkcz	Map2k1
Prkcz	Map2k2
Egfr	Grb2
Egfr	Gab1
Rassf6	Mdm2
Pld2	Ptk2b
Src	Pld2
Hk3	Ptgds
Hk3	Igfbp4
Hk3	Zbtb17
Hk3	Grn
Hk3	Lep
Lep	Ptgds
Lep	Igfbp4
Lep	Zbtb17
Lep	Grn
Ptprr	Src
Shc1	Inpp5d
Dok1	Inpp5d
Dok1	Rasa1
Inpp5d	Fcgr2b
Inpp5d	Ms4a2
Elavl1	Ptgs2
Elavl1	Serpine1
Serpine1	Prkcd
Lipe	Star
Lipe	Fabp9
Kat5	Pla2g4a
P2rx4	Ap2m1
Gja1	Calm1
Gja1	Rplp2
Gja1	Tmem43
Gja1	Acta1
Gja1	Pfn1
Gja1	Prdx2
Gja1	Rps3a
Gja1	Ywhaz
Gja1	Anxa1
Gja1	Rpl22
Gja1	Aldoa
Gja1	Dstnl1
Gja1	Rpl27
Gja1	Rap1a
Gja1	Eef1d
Gja1	Akr1b1
Gja1	Anxa2
Gja1	Rplp0
Gja1	Shmt1
Gja1	Arpc4
Gja1	Nefm
Gja1	Atp1b3
Gja1	Atp5b
Gja1	Eif4g1
Gja1	Ran
Gja1	Pycr1
Gja1	Lima1
Gja1	Psmd13
Gja1	Vps29
Gja1	Rpl23
Gja1	Actn4
Gja1	Oat
Gja1	Unc45a
Gja1	Nup93
Gja1	Rps17
Gja1	Prph
Gja1	Prdx1
Gja1	Cltc
Gja1	Npepl1
Gja1	Dcn
Gja1	Lgals1
Gja1	Eef2
Gja1	Eef1g
Gja1	Hist1h3f
Gja1	Sod1
Gja1	Spta1
Gja1	Hsp90aa1
Gja1	Vim
Gja1	Arpc5
Gja1	Nefl
Gja1	Ndufs1
Gja1	Eif3e
Gja1	Actr2
Gja1	Rps16
Gja1	Hspd1
Gja1	Acadl
Gja1	Stau1
Gja1	Cct6a
Gja1	Hadha
Gja1	Pdia3
Gja1	Pkm
Gja1	Lmnb1
Gja1	Serpine2
Gja1	Cfl1
Gja1	Ppia
Gja1	Rpsa
Gja1	Qars
Gja1	Limch1
