database	pathway	gene
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	RELN
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	WFIKKN2
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	IGFBP5
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	PRPH
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	PCP4
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	LINC01133
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	NDNF
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	ACHE
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	TRH
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	ISOC1
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	MAB21L1
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	CBLN1
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	C7
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	PLSCR4
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	C1QTNF3
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	RSPO3
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	HHATL
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	AMIGO2
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	TAGLN2
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	PCP4L1
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	STK32A
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	CRABP2
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	OTOS
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	NEFH
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	PGF
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	LHX5-AS1
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	CALB2
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	NHLH2
FAN	EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS	CABP7
