feature,log2FC,pval,padj,class,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,networkId,GATOM.abbr
FA(22:4),-0.372834735560024,0.44315836021994354,0.5557913458919042,FA,FA 22:4,FA 22:4,FA 22:4,SN_POSITION,fattyacid,FA 22:4
FA(22:5),-0.7990210821303031,0.0865341752033038,0.18801200315255964,FA,FA 22:5,FA 22:5,FA 22:5,SN_POSITION,fattyacid,FA 22:5
FA(22:6),-0.5337749312313906,0.15827131376179937,0.28193810483444603,FA,FA 22:6,FA 22:6,FA 22:6,SN_POSITION,fattyacid,FA 22:6
FA(24:0),-0.16286110664350173,0.12612787233436432,0.24282981826651634,FA,FA 24:0,FA 24:0,FA 24:0,FULL_STRUCTURE,fattyacid,FA 24:0
FA(24:1),0.10286791214865568,0.3638065037840283,0.48477664666788006,FA,FA 24:1,FA 24:1,FA 24:1,SN_POSITION,fattyacid,FA 24:1
FA(24:2),1.001713626787124,0.0037153265341748234,0.03310344098273311,FA,FA 24:2,FA 24:2,FA 24:2,SN_POSITION,fattyacid,FA 24:2
FA(26:0),-0.04960204853362135,0.7060553574836271,0.7827375991775456,FA,FA 26:0,FA 26:0,FA 26:0,FULL_STRUCTURE,fattyacid,FA 26:0
FA(26:1),0.004186815473624325,0.9272567843820365,0.9536994683473037,FA,FA 26:1,FA 26:1,FA 26:1,SN_POSITION,fattyacid,FA 26:1
LPA(16:0),-0.824078816466001,0.13395764898068457,0.25295012161974484,LPA,LPA 16:0,LPA 16:0,LPA 16:0/0:0,MOLECULAR_SPECIES,LPA,LPA(16:0)
LPA(18:1),-0.4219672907022883,0.10303571614917148,0.21034838655359162,LPA,LPA 18:1,LPA 18:1,LPA 18:1/0:0,MOLECULAR_SPECIES,LPA,LPA(18:1)
LPA(18:2),0.3826727883528525,0.4577052357628353,0.5669617673479824,LPA,LPA 18:2,LPA 18:2,LPA 18:2/0:0,MOLECULAR_SPECIES,LPA,LPA(18:2)
LPA(20:4),0.1642760910083244,0.6969319834396928,0.7744899143981029,LPA,LPA 20:4,LPA 20:4,LPA 20:4/0:0,MOLECULAR_SPECIES,LPA,LPA(20:4)
LPC(14:0),0.2206094938632641,0.48016823195280256,0.5863905496308492,LPC,LPC 14:0,LPC 14:0,LPC 14:0/0:0,MOLECULAR_SPECIES,LPC,LPC(14:0)
LPC(16:0),0.26243422196635857,0.1300999476706787,0.24870696710189816,LPC,LPC 16:0,LPC 16:0,LPC 16:0/0:0,MOLECULAR_SPECIES,LPC,LPC(16:0)
LPC(16:1),0.11613382583437666,0.4839232879118899,0.5883202219333312,LPC,LPC 16:1,LPC 16:1,LPC 16:1/0:0,MOLECULAR_SPECIES,LPC,LPC(16:1)
LPC(18:0),-0.11369673632368071,0.398743168698537,0.5173142788151283,LPC,LPC 18:0,LPC 18:0,LPC 18:0/0:0,MOLECULAR_SPECIES,LPC,LPC(18:0)
LPC(18:1),0.08205678668567713,0.6687061381906074,0.7474587205808236,LPC,LPC 18:1,LPC 18:1,LPC 18:1/0:0,MOLECULAR_SPECIES,LPC,LPC(18:1)
LPC(18:2),0.4078320706709829,0.046296664479502043,0.12769651911810875,LPC,LPC 18:2,LPC 18:2,LPC 18:2/0:0,MOLECULAR_SPECIES,LPC,LPC(18:2)
LPC(18:3),1.811816456375003,3.5066686714857135e-6,6.323692504245904e-4,LPC,LPC 18:3,LPC 18:3,LPC 18:3/0:0,MOLECULAR_SPECIES,LPC,LPC(18:3)
LPC(20:0),0.3478294486325659,0.33341391058992986,0.4589743654685803,LPC,LPC 20:0,LPC 20:0,LPC 20:0/0:0,MOLECULAR_SPECIES,LPC,LPC(20:0)
LPC(20:1),-0.2710598386160203,0.6573509808632193,0.7393490242141406,LPC,LPC 20:1,LPC 20:1,LPC 20:1/0:0,MOLECULAR_SPECIES,LPC,LPC(20:1)
LPC(20:2),-0.0788210317105594,0.9603243075012544,0.9744276360810109,LPC,LPC 20:2,LPC 20:2,LPC 20:2/0:0,MOLECULAR_SPECIES,LPC,LPC(20:2)
LPC(20:3),-0.6587728639577648,0.06556011808567586,0.15624680125264598,LPC,LPC 20:3,LPC 20:3,LPC 20:3/0:0,MOLECULAR_SPECIES,LPC,LPC(20:3)
LPC(20:4),0.1774780762400388,0.2697206774810383,0.3912034491078866,LPC,LPC 20:4,LPC 20:4,LPC 20:4/0:0,MOLECULAR_SPECIES,LPC,LPC(20:4)
LPC(20:5),-0.42721113989105214,0.5052930027428564,0.6061275265718077,LPC,LPC 20:5,LPC 20:5,LPC 20:5/0:0,MOLECULAR_SPECIES,LPC,LPC(20:5)
LPC(22:4),0.8818009592279039,0.173589621027242,0.30003829065730964,LPC,LPC 22:4,LPC 22:4,LPC 22:4/0:0,MOLECULAR_SPECIES,LPC,LPC(22:4)
LPC(22:5),-0.3313634316058177,0.3613639770115778,0.48271089274879897,LPC,LPC 22:5,LPC 22:5,LPC 22:5/0:0,MOLECULAR_SPECIES,LPC,LPC(22:5)
LPC(22:6),-0.40804838598831533,0.021024172111931468,0.08434365866831862,LPC,LPC 22:6,LPC 22:6,LPC 22:6/0:0,MOLECULAR_SPECIES,LPC,LPC(22:6)
LPC(24:0),1.1829511844678344,0.015628064960051778,0.07150265817508941,LPC,LPC 24:0,LPC 24:0,LPC 24:0/0:0,MOLECULAR_SPECIES,LPC,LPC(24:0)
LPC(O-16:0),0.25246119303003955,0.27640334868759436,0.39875789770663617,LPC O-,LPC O-16:0,LPC O-16:0,LPC O-16:0/0:0,MOLECULAR_SPECIES,LPC-O,LPC(O-16:0)
LPC(O-18:0),1.771264242516609,0.05769113802548043,0.14584535360647155,LPC O-,LPC O-18:0,LPC O-18:0,LPC O-18:0/0:0,MOLECULAR_SPECIES,LPC-O,LPC(O-18:0)
LPC(O-18:1),0.800975298942854,0.0028929109006876346,0.028455723586763824,LPC O-,LPC O-18:1,LPC O-18:1,LPC O-18:1/0:0,MOLECULAR_SPECIES,LPC-O,LPC(O-18:1)
LPC(O-20:0),1.4466184728236637,0.027883788315250766,0.09859561750686709,LPC O-,LPC O-20:0,LPC O-20:0,LPC O-20:0/0:0,MOLECULAR_SPECIES,LPC-O,LPC(O-20:0)
LPC(O-22:0),2.526727678372513,8.67379296878244e-4,0.016181110331418277,LPC O-,LPC O-22:0,LPC O-22:0,LPC O-22:0/0:0,MOLECULAR_SPECIES,LPC-O,LPC(O-22:0)
LPE(14:0),-0.20612746616484273,0.02816112463178053,0.09862957469770126,LPE,LPE 14:0,LPE 14:0,LPE 14:0/0:0,MOLECULAR_SPECIES,LPE,LPE(14:0)
