"feature"
"AA"
"10-phospho-2E-decenoic acid"
"18:1 Cholesterol ester (d5)"
"22:2(5Z,9Z)(13Me,17Me,21Me)"
"2-chlorohexadecanol"
"2S-amino-3-oxo-butanoic acid"
"7-oxo-8-amino-nonanoic acid"
"9-dimethylarsinoyl-nonanoic acid"
"ASG 28:2;O;Hex;FA 10:0"
"CE(23:0) [M+NH4]+"
"Cer 23:0;O2/19:0(3OH)"
"CerP 27:3;O2/21:1"
"Cholesterol"
"CL 16:0_18:0_22:6_22:6"
"CL 18:0_18:2_18:2_20:4"
"CL 18:0_18:2_20:0_20:4"
"DAG(44:7)"
"DGDG 18:2/18:2"
"DGDG 18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)"
"DHA"
"DLCL 21:3_18:5"
"FA(16:0)"
"FOH 34:0"
"GlcAbeta-Cer(d18:1/18:0)"
"HETE"
"hexane"
"LPE-N (FA 17:0)16:1"
"NAGly 24:0;O(FA 26:2)"
"PA(34:1)"
"PA(P-15:0/22:4(7Z,10Z,13Z,16Z))"
"PE 38:5 [M-H]-"
"PE P-18:0/20:0"
"PE(aa-40:4)"
"PE(O-24:1_22:6)"
"PE-GlcDG(P-16:0/16:1(9Z))"
"PE-NMe2 18:1/18:1"
"pentadecane"
"PEtOH 24:3"
"PG(20:5(5Z,8Z,11Z,14Z,17Z)/32:5(17Z,20Z,23Z,26Z,29Z))"
"PS 37:4 [M-H]-"
"SHexCer 46:2;O2"
"SL 21:1;O/26:6;O"
"SM d34:2"
"SQDG 43:1"
"TAG(54:3)"
"TG 18:4/18:1/18:4"
"TG 22:2_22:3_22:6"
"TG 53:18;O3"
"TG 9:0_22:6_8:0;O(FA 16:2)"
"TG(16:1_17:0_18:1)"
